title,authors,publisher,published_date,page_count,categories,average_rating,language
The Art of Fiction,Walter Besant,Tidak diketahui,1885-01-01,106,Fiction,4.083333333333333,en
A Library of Famous Fiction,Tidak diketahui,Tidak diketahui,1873-01-01,1084,English fiction,4.083333333333333,en
Into The Mind : Introduction to Prose Fiction,"Dr. Sony Sukmawan, M.Pd dan Dr. Lestari Setyowati, S.Pd., M.Pd",Media Nusa Creative (MNC Publishing),1895-01-01,173,Education,4.083333333333333,id
A Century of French Fiction,Benjamin Willis Wells,Tidak diketahui,1898-01-01,418,French fiction,4.083333333333333,en
Desire and Domestic Fiction,Nancy Armstrong,Oxford University Press,1895-01-01,318,Language Arts & Disciplines,5.0,en
"Love and Sexuality in Dystopian Fiction. An Analysis of ""Brave New World"" and ""Nineteen Eighty-Four""",Lena Gräf,GRIN Verlag,1895-01-01,24,Literary Criticism,4.083333333333333,en
A History of English Prose Fiction from Sir Thomas Malory to George Eliot,Bayard Tuckerman,Tidak diketahui,1882-01-01,354,English fiction,4.083333333333333,en
Author and Title List of Fiction and Children's Stories,"Nahant Public Library, Nahant, Mass",Tidak diketahui,1895-01-01,168,Fiction,4.083333333333333,en
Fan Fiction and Fan Communities in the Age of the Internet,"Karen Hellekson, Kristina Busse",McFarland,1895-01-01,297,Literary Criticism,4.083333333333333,en
"English Prose Fiction in the Free Public Library, Newark",Newark Public Library,Tidak diketahui,1900-01-01,136,English fiction,4.083333333333333,en
Horror Fiction,Gina Wisker,A&C Black,1895-01-01,308,Literary Criticism,4.083333333333333,en
'Truth is Stranger Than Fiction',Isaac W. Ambler,Tidak diketahui,1883-01-01,394,United States,4.083333333333333,en
"The hero of the desert; or, Facts more wonderful than fiction. [With cancel title-leaf, reading] Moses, the hero of the desert",James Spong,Tidak diketahui,1874-01-01,290,Tidak diketahui,4.083333333333333,en
"Peoria Public Library List of English Fiction, French Fiction, and Juveniles","Peoria Public Library (Peoria, Ill.)",Tidak diketahui,1894-01-01,210,Children's literature,4.083333333333333,en
Crime Fiction,John Scaggs,Psychology Press,2005-01-01,192,Fiction,4.083333333333333,en
"Character Sketches of Romance, Fiction and the Drama",Ebenezer Cobham Brewer,Tidak diketahui,1896-01-01,372,Allusions,4.083333333333333,en
The Distinction of Fiction,Dorrit Cohn,JHU Press,1895-01-01,214,Literary Criticism,4.083333333333333,en
History of Prose Fiction,John Colin Dunlop,Tidak diketahui,1896-01-01,722,Fiction,4.083333333333333,en
Major Trends in the Post-independence Indian English Fiction,"B. R. Agrawal, M. P. Sinha",Atlantic Publishers & Dist,2003-01-01,300,Indic fiction (English),4.083333333333333,en
Altavona. Fact and Fiction from My Life in the Highlands,John Stuart Blackie,Tidak diketahui,1882-01-01,692,Tidak diketahui,4.083333333333333,en
Mapping human history,Steve Olson,Penerbit Serambi,2006-01-01,408,Human beings,1.0,id
The Untold History of Ottoman,Prof. Dr. Mehmet Maksudoglu,Pustaka Al-Kautsar,1895-01-01,472,History,4.083333333333333,id
Original Sanskrit Texts on the Origin and History of the People of India,"John Muir, Trübner & Co (Londres)",Tidak diketahui,1874-01-01,608,Tidak diketahui,4.083333333333333,en
History of English Literature,Hippolyte Taine,Tidak diketahui,1898-01-01,480,English literature,4.083333333333333,en
